supplier,supplier_name,grn_no,date,supp_own_ref,voucher,cheque_no,document_type,store_no,item_no,uom_code,quantity,nett_grn_amt,description,return_qty,inv_no,fin_period,order_no,sheet_name,source_file,file_type
100060,LIGHT LESEDI TRADING ENTERPRISE (PTY) LTD,27210,,INV202211(01),INVI005662,30798,S,MAIN STORE,210285,EACH,50.0,140000.0,POLES 11 METERS,0,1015875,202211,1020167,HR995grn,HR995grn.xlsx,xlsx
100060,LIGHT LESEDI TRADING ENTERPRISE (PTY) LTD,27210,,INV202211(01),INVI005662,30798,S,MAIN STORE,210293,EACH,10.0,58000.0,POLES,0,1015875,202211,1020167,HR995grn,HR995grn.xlsx,xlsx
100060,LIGHT LESEDI TRADING ENTERPRISE (PTY) LTD,27503,,INV202212(01),INVI005750,31474,N,DIRECT,123428,EACH,50.0,29800.0,SUPPLY,0,1016101,202212,1020566,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,26699,,078,INVI005437,30029,S,MAIN STORE,214842,METER,5000.0,97200.0,ABC 2X25+INSULATED NEUTRAL,0,1015352,202209,1019386,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,26958,,9222,INVI005574,30630,S,MAIN STORE,214817,METER,4000.0,92000.0,CABLE ABC 3X35 1X25 CONDUCT,0,1015654,202210,1020252,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,27572,,9225,INVI005799,31953,S,MAIN STORE,206686,EACH,500.0,87000.0,LAMP LED FLUORESCENT FITTING,0,1016200,202212,1020940,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,27572,,9225,INVI005799,31953,S,MAIN STORE,206688,EACH,500.0,90000.0,LAMP FITTING 5FT DOUBLE,0,1016200,202212,1020940,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,28435,,2023/000001,INVI006148,34263,S,MAIN STORE,206806,EACH,700.0,47040.0,LAMPS M.V. 125 W,0,1017086,202304,1021405,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,28435,,2023/000001,INVI006148,34263,S,MAIN STORE,207004,EACH,400.0,72000.0,LAMPS M/V 400W GES.,0,1017086,202304,1021405,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,28435,,2023/000001,INVI006148,34263,S,MAIN STORE,207055,EACH,500.0,90000.0,LAMPS SON E 70HPS C/WINT IGNIT,0,1017086,202304,1021405,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,28640,,2023/000002,INVI006263,35009,S,MAIN STORE,206865,EACH,300.0,43200.0,LAMPS 250W SODIUM,0,1017361,202305,1021405,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,31262,,2024/000001,INVI007278,44199,S,MAIN STORE,203659,EACH,100.0,288000.0,FITTING FLOOD LIGHTS 400W HPS,0,1019892,202406,1025311,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,31262,,2024/000001,INVI007278,44199,S,MAIN STORE,203725,EACH,100.0,180000.0,53w LED STREETLIGHT FITTING,0,1019892,202406,1025311,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,31510,,BKT250624,INVI007402,44678,S,MAIN STORE,203725,EACH,120.0,216000.0,53w LED STREETLIGHT FITTING,0,1020199,202406,1025460,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,32068,,2024/000102,INVI007678,48256,S,MAIN STORE,214825,METER,1000.0,23000.0,CABLE ABC_3X35-54.6INSUL/N1X25,0,1020673,202411,1025755,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,32068,,2024/000102,INVI007678,48256,S,MAIN STORE,214833,METER,4000.0,280000.0,CABLE ABC_3X70 54.6 CONDUCTER,0,1020673,202411,1025755,HR995grn,HR995grn.xlsx,xlsx
100061,BOKANG KATLEGO TRADING AND PROJECTS,32068,,2024/000102,INVI007678,48256,S,MAIN STORE,214842,METER,5000.0,97200.0,ABC 2X25+INSULATED NEUTRAL,0,1020673,202411,1025755,HR995grn,HR995grn.xlsx,xlsx
100071,BONGANI ENTERTAIMENT TRADING ENTERPRISE (PTY) LTD,31104,,00128,INVI007198,43262,N,DIRECT,161487,EACH,1.0,29825.0,INSTALLATION,0,1019716,202405,1023707,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400001,EACH,20.0,36006.4,steel sheet,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400002,EACH,15.0,80726.55,steel sheet,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400010,EACH,20.0,2291.2,round bar 10MM,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400011,EACH,20.0,3015.8,round bar,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400020,EACH,20.0,2763.8,flat bar,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400021,EACH,20.0,5794.2,flat bar,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400022,EACH,20.0,7499.4,flat bar,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400030,EACH,20.0,7264.6,square tube 25x25x2mm,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400031,EACH,20.0,9462.8,square tube 32x32x2mm x6m,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400032,EACH,20.0,11394.0,square tube 38x38x2mmx 6m,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400040,EACH,20.0,4706.0,anle iron equal,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400041,EACH,20.0,9796.2,angle iron equal,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26391,,CITY0016.08.22,INVI005300,28698,S,MAIN STORE,400042,EACH,20.0,14004.0,angle iron equal,0,1015046,202208,1019460,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26455,,CITY-COM 02.09.22,INVI005335,29205,S,MAIN STORE,267398,EACH,1000.0,30934.0,TOILET BOWL,0,1015120,202209,1019321,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26455,,CITY-COM 02.09.22,INVI005335,29205,S,MAIN STORE,273196,LT,3000.0,84678.0,ALGE 5LTRS,0,1015120,202209,1019321,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26587,,CITY-COM 14.09.22,INVI005394,29404,N,DIRECT,134127,EACH,1.0,27905.0,SUPPLY,0,1015230,202209,1019663,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,26809,,CITY0001.08.22S/S,INVI005481,30030,S,STAT.STORE,105368,REAM,400.0,67744.0,BLOU 70 GSM TYPEK BOND,0,1015446,202210,1019244,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,27151,,CITY00010.11.22S/S,INVI005625,30754,S,STAT.STORE,105325,REAM,160.0,11136.0,PAPER ROTATRIM BOND 80G WHITE,0,1015799,202211,1019243,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,27153,,CITY0001.09.22S/S,INVI005625,30754,S,STAT.STORE,105368,REAM,195.0,33025.2,BLOU 70 GSM TYPEK BOND,0,1015800,202211,1019244,HR995grn,HR995grn.xlsx,xlsx
100078,K P DEVELOPMENTS (PTY) LTD,27410,,CITY0028.11.22,INVI005715,31263,S,STAT.STORE,105368,REAM,400.0,67744.0,BLOU 70 GSM TYPEK BOND,0,1016012,202212,1019244,HR995grn,HR995grn.xlsx,xlsx
